x,y
6.119563334280300748e-02,7.117740598309579836e-04
6.206101594108515140e-02,3.573664415514731397e-03
6.029797785295226697e-02,8.254198586729405429e-03
5.853493976481929928e-02,1.293473275794428806e-02
5.677190167668645648e-02,1.761526692915897988e-02
5.500886358855348185e-02,2.229580110037387292e-02
5.324582550042060436e-02,2.697633527158852310e-02
5.148278741228766442e-02,3.165686944280340920e-02
4.971974932415487713e-02,3.633740361401791019e-02
4.795671123602199964e-02,4.101793778523259160e-02
4.619367314788903195e-02,4.569847195644747423e-02
4.443063505975618221e-02,5.037900612766214870e-02
4.266759697162321452e-02,5.505954029887703827e-02
4.090455888349035785e-02,5.974007447009161559e-02
3.914152079535753587e-02,6.442060864130616515e-02
3.737848270722466532e-02,6.910114281252087431e-02
3.561544461909178089e-02,7.378167698373552796e-02
3.385240653095884789e-02,7.846221115495043141e-02
3.208936844282596346e-02,8.314274532616511282e-02
3.032445054869381887e-02,8.782256928699479215e-02
2.857407573214892568e-02,9.250785068072070461e-02
2.684133601226440860e-02,9.719968221219245363e-02
2.512772059193961807e-02,1.018985315284685611e-01
2.343447667438609480e-02,1.066047595540270537e-01
2.176422251037788205e-02,1.113191946952889200e-01
2.011853543864818711e-02,1.160422600684333228e-01
1.850025306917848361e-02,1.207747845645825296e-01
1.691275344660442270e-02,1.255177220509943459e-01
1.535960851777028353e-02,1.302720173413955962e-01
1.384557896931223366e-02,1.350389086392950189e-01
1.237588221592864947e-02,1.398196486508437308e-01
1.095825345830295922e-02,1.446160775614125094e-01
9.844882101855511117e-03,1.425698841708117059e-01
8.786861222128603682e-03,1.376815387893213227e-01
7.664089112786031180e-03,1.328076606261137382e-01
6.477088852698343127e-03,1.279490254007709937e-01
5.226406563594907136e-03,1.231063895520719542e-01
3.912223289261137875e-03,1.182805977785900131e-01
2.535262712970642526e-03,1.134723428149834040e-01
1.096509429549174944e-03,1.086822160622910871e-01
-4.033563828916179395e-04,1.039108710989374712e-01
-1.963626138063334636e-03,9.915893397280496624e-02
-3.583564700730924694e-03,9.442700250004322504e-02
-5.262857759562819884e-03,8.971580737576528852e-02
-7.007642544168223193e-03,8.502846979786427006e-02
-8.760755058893423403e-03,8.034420892352900356e-02
-1.051386757361853080e-02,7.565994804919387584e-02
-1.226698008834371453e-02,7.097568717485859546e-02
-1.402009260306883755e-02,6.629142630052348162e-02
-1.577320511779394668e-02,6.160716542618840941e-02
-1.752631763251914429e-02,5.692290455185308046e-02
-1.927943014724425169e-02,5.223864367751800131e-02
-2.103254266196943889e-02,4.755438280318273481e-02
-2.278565517669456017e-02,4.287012192884762096e-02
-2.453876769141974737e-02,3.818586105451231977e-02
-2.629188020614485824e-02,3.350160018017723368e-02
-2.804499272086995870e-02,2.881733930584214065e-02
-2.979810523559514937e-02,2.413307843150683946e-02
-3.155121775032027759e-02,1.944881755717172908e-02
-3.330433026504547173e-02,1.476455668283641921e-02
-3.505744277977057566e-02,1.008029580850133312e-02
-3.681055529449576286e-02,5.396034934166051011e-03
-3.856366780922086679e-02,7.117740598309579836e-04
